group	seed	delta	variant_score	baseline_score	divergence_turn	turn_bucket	variant_mode	baseline_mode	remaining	remaining_bucket	active	variant_cell	baseline_cell	variant_raw	baseline_raw
top_loss	741	86.0	323.751096906986	237.751096906986	5	early_<=30	CHASE	HUNT		remaining_unknown	0	7,6	6,6	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=7,6 score=100001.776616 chase_score=5086.276616 prob=1.776616	turn=5 mode=HUNT rank=1 cell=6,6 score=2.687602 prob=2.163745 density=1.234568 center=0.013000
top_loss	4620	86.0	168.73171085635	82.73171085635	3	early_<=30	CHASE	HUNT		remaining_unknown	0	3,5	4,7	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=3,5 score=100001.300748 chase_score=5031.300748 prob=1.300748	turn=3 mode=HUNT rank=1 cell=4,7 score=2.322656 prob=1.644302 density=1.405405 center=0.010000
top_loss	96	80.0	279.09245491848	199.09245491848	3	early_<=30	CHASE	HUNT		remaining_unknown	0	9,3	8,8	turn=9 mode=CHASE cluster=0 cluster_len=1 cell=9,3 score=100001.087512 chase_score=5078.587512 prob=1.087512	turn=3 mode=HUNT rank=1 cell=8,8 score=2.501498 prob=1.903743 density=1.304891 center=0.017000
top_win	2620	-80.0	173.240640316313	253.240640316313	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,3	9,6	turn=8 mode=CHASE cluster=0 cluster_len=1 cell=11,3 score=100000.814493 chase_score=5047.314493 prob=0.814493	turn=3 mode=HUNT rank=1 cell=9,6 score=1.745749 prob=1.600508 density=1.081967 center=0.013000
top_win	835	-80.0	316.472928827552	396.472928827552	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,8	9,9	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=11,8 score=100004.359208 chase_score=5243.359208 prob=4.359208	turn=3 mode=HUNT rank=1 cell=9,9 score=4.473160 prob=4.394841 density=1.012658 center=0.019000
top_win	3433	-81.0	272.236408255325	353.236408255325	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,14	10,10	turn=9 mode=CHASE cluster=0 cluster_len=1 cell=11,14 score=100001.730824 chase_score=5124.730824 prob=1.730824	turn=3 mode=HUNT rank=1 cell=10,10 score=2.617915 prob=2.597646 density=1.000000 center=0.017000
top_win	967	-84.0	314.074965113542	398.074965113542	3	early_<=30	CHASE	HUNT		remaining_unknown	0	10,9	9,9	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=10,9 score=100002.974053 chase_score=5169.974053 prob=2.974053	turn=3 mode=HUNT rank=1 cell=9,9 score=3.245619 prob=3.027440 density=1.064500 center=0.019000
top_win	675	-84.0	154.192244574227	238.192244574227	3	early_<=30	CHASE	HUNT		remaining_unknown	0	8,8	9,8	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=8,8 score=100003.659078 chase_score=5156.159078 prob=3.659078	turn=3 mode=HUNT rank=1 cell=9,8 score=4.069227 prob=3.767755 density=1.075269 center=0.017000
top_win	2699	-85.0	214.386561736347	299.386561736347	5	early_<=30	CHASE	HUNT		remaining_unknown	0	11,12	10,10	turn=8 mode=CHASE cluster=0 cluster_len=1 cell=11,12 score=100001.262221 chase_score=5117.762221 prob=1.262221	turn=5 mode=HUNT rank=1 cell=10,10 score=4.187302 prob=2.981212 density=1.397590 center=0.019000
top_win	900	-85.0	242.091739583094	327.091739583094	5	early_<=30	CHASE	HUNT		remaining_unknown	0	9,6	8,6	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=9,6 score=100003.010103 chase_score=5164.510103 prob=3.010103	turn=5 mode=HUNT rank=1 cell=8,6 score=5.190998 prob=3.766400 density=1.374177 center=0.015000
top_win	1262	-87.0	203.275697646417	290.275697646417	3	early_<=30	CHASE	HUNT		remaining_unknown	0	9,8	9,9	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=9,8 score=100001.439636 chase_score=5136.939636 prob=1.439636	turn=3 mode=HUNT rank=1 cell=9,9 score=4.471761 prob=2.848804 density=1.562358 center=0.019000
top_win	3253	-88.0	197.873314055985	285.873314055985	3	early_<=30	CHASE	HUNT		remaining_unknown	0	7,6	9,7	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=7,6 score=100003.277171 chase_score=5132.277171 prob=3.277171	turn=3 mode=HUNT rank=1 cell=9,7 score=3.439189 prob=3.376074 density=1.013761 center=0.015000
top_win	2142	-89.0	230.226418108494	319.226418108494	3	early_<=30	CHASE	HUNT		remaining_unknown	0	5,7	8,9	turn=7 mode=CHASE cluster=0 cluster_len=1 cell=5,7 score=100002.579992 chase_score=5116.579992 prob=2.579992	turn=3 mode=HUNT rank=1 cell=8,9 score=3.810944 prob=2.900452 density=1.306667 center=0.017000
top_win	1792	-89.0	136.155241045975	225.155241045975	3	early_<=30	CHASE	HUNT		remaining_unknown	0	6,7	8,8	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=6,7 score=100001.655352 chase_score=5052.155352 prob=1.655352	turn=3 mode=HUNT rank=1 cell=8,8 score=1.650767 prob=1.633924 density=1.000000 center=0.013000
top_win	4197	-90.0	242.237360387783	332.237360387783	3	early_<=30	CHASE	HUNT		remaining_unknown	0	8,7	7,7	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=8,7 score=100002.780092 chase_score=5130.780092 prob=2.780092	turn=3 mode=HUNT rank=1 cell=7,7 score=4.618067 prob=3.149491 density=1.461406 center=0.015000
top_win	1159	-93.0	179.028771688612	272.028771688612	3	early_<=30	CHASE	HUNT		remaining_unknown	0	9,7	9,8	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=9,7 score=100001.508541 chase_score=5116.508541 prob=1.508541	turn=3 mode=HUNT rank=1 cell=9,8 score=3.100772 prob=2.793028 density=1.103448 center=0.017000
top_win	321	-98.0	212.743084926104	310.743084926104	3	early_<=30	CHASE	HUNT		remaining_unknown	0	5,11	7,7	turn=7 mode=CHASE cluster=0 cluster_len=1 cell=5,11 score=100002.225430 chase_score=5103.725430 prob=2.225430	turn=3 mode=HUNT rank=1 cell=7,7 score=2.485481 prob=2.258202 density=1.093023 center=0.015000
top_win	2889	-100.0	201.107682273763	301.107682273763	3	early_<=30	CHASE	HUNT		remaining_unknown	0	8,13	12,12	turn=11 mode=CHASE cluster=0 cluster_len=1 cell=8,13 score=100000.686278 chase_score=5031.686278 prob=0.686278	turn=3 mode=HUNT rank=1 cell=12,12 score=0.725606 prob=0.710695 density=1.000000 center=0.011000
top_win	2064	-101.0	192.304800273668	293.304800273668	3	early_<=30	CHASE	HUNT		remaining_unknown	0	12,13	10,10	turn=8 mode=CHASE cluster=0 cluster_len=1 cell=12,13 score=100000.743351 chase_score=5061.743351 prob=0.743351	turn=3 mode=HUNT rank=1 cell=10,10 score=1.463719 prob=1.446703 density=1.000000 center=0.017000
top_win	4187	-101.0	262.976900549779	363.976900549779	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,6	11,7	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=11,6 score=100001.312727 chase_score=5115.562727 prob=1.312727	turn=3 mode=HUNT rank=1 cell=11,7 score=3.188394 prob=2.570416 density=1.233223 center=0.015000
top_win	2666	-104.0	162.949502648459	266.949502648459	3	early_<=30	CHASE	HUNT		remaining_unknown	0	7,8	9,9	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=7,8 score=100002.536400 chase_score=5101.036400 prob=2.536400	turn=3 mode=HUNT rank=1 cell=9,9 score=2.570399 prob=2.554579 density=1.000000 center=0.015000
top_win	660	-110.0	230.0005936512	340.0005936512	3	early_<=30	CHASE	HUNT		remaining_unknown	0	9,10	8,10	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=9,10 score=100003.150214 chase_score=5155.650214 prob=3.150214	turn=3 mode=HUNT rank=1 cell=8,10 score=3.803962 prob=3.353326 density=1.128713 center=0.017000
top_win	3220	-111.0	115.347799339589	226.347799339589	3	early_<=30	CHASE	HUNT		remaining_unknown	0	7,6	7,7	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=7,6 score=100000.504683 chase_score=5035.004683 prob=0.504683	turn=3 mode=HUNT rank=1 cell=7,7 score=1.036656 prob=0.902417 density=1.128906 center=0.015000
top_win	1130	-111.0	122.072141960436	233.072141960436	3	early_<=30	CHASE	HUNT		remaining_unknown	0	8,9	9,9	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=8,9 score=100002.902914 chase_score=5105.902914 prob=2.902914	turn=3 mode=HUNT rank=1 cell=9,9 score=3.494238 prob=3.478582 density=1.000000 center=0.013000
top_win	590	-113.0	186.075104300719	299.075104300719	3	early_<=30	CHASE	HUNT		remaining_unknown	0	7,10	7,9	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=7,10 score=100001.616018 chase_score=5112.616018 prob=1.616018	turn=3 mode=HUNT rank=1 cell=7,9 score=3.545417 prob=3.211143 density=1.098315 center=0.015000
top_win	3597	-119.0	195.269658422253	314.269658422253	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,8	10,10	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=11,8 score=100002.036039 chase_score=5105.036039 prob=2.036039	turn=3 mode=HUNT rank=1 cell=10,10 score=2.277282 prob=2.257296 density=1.000000 center=0.017000
top_win	1062	-122.0	170.995748431811	292.995748431811	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,12	10,10	turn=7 mode=CHASE cluster=0 cluster_len=1 cell=11,12 score=100001.225480 chase_score=5098.225480 prob=1.225480	turn=3 mode=HUNT rank=1 cell=10,10 score=2.425749 prob=2.409610 density=1.000000 center=0.015000
top_win	46	-130.0	229.048598768188	359.048598768188	3	early_<=30	CHASE	HUNT		remaining_unknown	0	10,8	11,8	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=10,8 score=100002.721047 chase_score=5161.221047 prob=2.721047	turn=3 mode=HUNT rank=1 cell=11,8 score=3.129119 prob=2.953134 density=1.052632 center=0.017000
top_win	101	-133.0	222.151825312786	355.151825312786	3	early_<=30	CHASE	HUNT		remaining_unknown	0	8,7	8,8	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=8,7 score=100002.219498 chase_score=5218.719498 prob=2.219498	turn=3 mode=HUNT rank=1 cell=8,8 score=6.142704 prob=4.370375 density=1.401384 center=0.017000
top_win	3973	-144.0	158.373762771524	302.373762771524	3	early_<=30	CHASE	HUNT		remaining_unknown	0	14,6	11,10	turn=9 mode=CHASE cluster=0 cluster_len=1 cell=14,6 score=100001.286264 chase_score=5069.786264 prob=1.286264	turn=3 mode=HUNT rank=1 cell=11,10 score=1.574134 prob=1.553841 density=1.000000 center=0.016000
