seed	variant_score	baseline_score	delta_variant_minus_baseline
2732	268.285266187684	268.285266187684	+0.000000000000
2727	211.444695627622	211.444695627622	+0.000000000000
2724	111.202558595588	111.202558595588	+0.000000000000
2722	219.519317470962	219.519317470962	+0.000000000000
2721	286.573695002496	286.573695002496	+0.000000000000
2716	351.201362322014	351.201362322014	+0.000000000000
2715	149.892434651802	149.892434651802	+0.000000000000
2710	70.029164409962	70.029164409962	+0.000000000000
2707	341.228607982430	341.228607982430	+0.000000000000
2706	115.311086539513	115.311086539513	+0.000000000000
2703	147.078821020395	147.078821020395	+0.000000000000
2701	42.224851473788	42.224851473788	+0.000000000000
2700	196.680868306641	196.680868306641	+0.000000000000
2697	89.902353414032	89.902353414032	+0.000000000000
2695	73.392554310752	73.392554310752	+0.000000000000
2693	44.947334223159	44.947334223159	+0.000000000000
2680	193.263327850312	193.263327850312	+0.000000000000
2677	175.132783892132	175.132783892132	+0.000000000000
2662	28.619228045751	28.619228045751	+0.000000000000
2659	395.576360330747	395.576360330747	+0.000000000000
2653	46.315912006757	46.315912006757	+0.000000000000
2649	325.710643475743	325.710643475743	+0.000000000000
2648	109.573631258726	109.573631258726	+0.000000000000
2647	72.810778500311	72.810778500311	+0.000000000000
2645	183.506782837066	183.506782837066	+0.000000000000
2643	318.936170965737	318.936170965737	+0.000000000000
2640	79.819235905193	79.819235905193	+0.000000000000
2636	273.755100336020	273.755100336020	+0.000000000000
2633	174.088069566116	174.088069566116	+0.000000000000
2626	219.228945372926	219.228945372926	+0.000000000000
2624	50.273798432337	50.273798432337	+0.000000000000
2622	22.058547542211	22.058547542211	+0.000000000000
2604	270.644647276415	270.644647276415	+0.000000000000
2602	289.309872415322	289.309872415322	+0.000000000000
2597	40.020805240428	40.020805240428	+0.000000000000
2594	217.467177571499	217.467177571499	+0.000000000000
2590	73.924464387943	73.924464387943	+0.000000000000
2586	45.754807336423	45.754807336423	+0.000000000000
2585	87.417788955125	87.417788955125	+0.000000000000
2584	239.841460886766	239.841460886766	+0.000000000000
2581	251.986678479497	251.986678479497	+0.000000000000
2580	38.136637219603	38.136637219603	+0.000000000000
2575	55.976851717889	55.976851717889	+0.000000000000
2567	252.327648048049	252.327648048049	+0.000000000000
2564	156.651805710243	156.651805710243	+0.000000000000
2562	323.994121405204	323.994121405204	+0.000000000000
2557	94.532059243397	94.532059243397	+0.000000000000
2555	378.669172250790	378.669172250790	+0.000000000000
2554	291.743275404880	291.743275404880	+0.000000000000
2551	321.627460130105	321.627460130105	+0.000000000000
2550	92.374935091866	92.374935091866	+0.000000000000
2549	238.097006509195	238.097006509195	+0.000000000000
